Date,Sleep Time (hh:ss),Awake Time (hh:ss),Sleep Duration (hh:ss),Reaction Speed (ms),5 Test Avg (ms),Sleep Location,Stress Level
2025-04-16,1:00,9:00,8:00,238,244,bed,1
2025-04-17,3:00,9:00,6:00,335,330,couch,3
2025-04-18,2:15,10:16,8:01,233,230,bed,2
2025-04-19,1:30,9:55,8:25,242,241,bed,1
2025-04-20,2:30,10:19,7:49,255,252,couch,1
2025-04-21,0:30,9:54,9:24,241,235,bed,2
2025-04-22,0:30,9:32,9:02,248,245,bed,3
2025-04-23,3:00,10:01,7:01,263,254,bed,1
2025-04-24,1:00,9:28,8:28,236,229,couch,2
2025-04-25,2:00,9:00,7:00,255,245,bed,2
2025-04-26,2:30,10:30,8:00,232,230,bed,1
2025-04-27,1:00,9:30,8:30,230,229,couch,3
2025-04-28,2:15,10:02,7:47,245,244,bed,2
2025-04-29,1:30,9:30,8:00,240,237,bed,1
2025-04-30,1:20,10:00,8:40,245,243,bed,1
2025-05-01,2:00,9:45,7:45,253,250,couch,2
2025-05-02,1:50,9:10,7:20,255,252,bed,2
2025-05-03,2:00,9:30,7:30,257,265.4,bed,1
2025-05-04,2:00,11:00,9:00,221,220,couch,1
2025-05-05,1:30,9:55,8:25,234,233,bed,1
2025-05-06,3:30,10:00,6:30,301,285,bed,2
2025-05-07,2:00,10:12,8:12,234,231,bed,1
2025-05-08,1:00,9:45,8:45,232,230,couch,3
2025-05-09,1:00,9:00,8:00,237,239,couch,2
2025-05-10,0:30,8:30,8:00,241,238,bed,1
2025-05-11,1:00,9:00,8:00,231,229,bed,1
2025-05-12,2:00,10:15,8:15,230,230,couch,1
2025-05-13,1:30,9:30,8:00,242,240,bed,2
2025-05-14,1:30,10:20,8:50,231,230,bed,1
2025-05-15,2:00,9:56,7:56,253,247,couch,3
2025-05-16,0:30,9:10,8:40,239,236,bed,2
2025-05-17,2:00,10:39,8:39,236,234,couch,1
2025-05-18,2:00,9:00,7:00,247,246,couch,1
2025-05-19,1:30,10:15,8:45,230,228,bed,1
2025-05-20,1:00,10:00,9:00,229,226,bed,2
2025-05-21,2:00,9:59,7:59,239,238,bed,1
2025-05-22,1:30,10:11,8:41,236,234,couch,3
2025-05-23,1:30,9:30,8:00,256,254,bed,2
2025-05-24,2:00,11:20,9:20,451,420,couch,1
2025-05-25,1:00,10:00,9:00,233,232,bed,1
2025-05-26,3:30,10:00,6:30,267,258,bed,2
